"REF_DATE","GEO","DGUID","Age group","Sex","Severity of disability","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2016A000011124","15 to 64 years","Male","Mild ","Percentage of persons","Percent","239","units ","0","v1035317189","1.2.2.2.2","42.8","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Male","Moderate ","Number of persons","Number","223","units ","0","v1035317190","1.2.2.3.1","375890","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Male","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317191","1.2.2.3.2","19.8","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Male","Severe ","Number of persons","Number","223","units ","0","v1035317192","1.2.2.4.1","344460","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Male","Severe ","Percentage of persons","Percent","239","units ","0","v1035317193","1.2.2.4.2","18.1","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Male","Very severe ","Number of persons","Number","223","units ","0","v1035317194","1.2.2.5.1","367190","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Male","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317195","1.2.2.5.2","19.3","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Female","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317196","1.2.3.1.1","2374040","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Female","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317197","1.2.3.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Female","Mild ","Number of persons","Number","223","units ","0","v1035317198","1.2.3.2.1","951740","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Female","Mild ","Percentage of persons","Percent","239","units ","0","v1035317199","1.2.3.2.2","40.1","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Female","Moderate ","Number of persons","Number","223","units ","0","v1035317200","1.2.3.3.1","456490","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Female","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317201","1.2.3.3.2","19.2","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Female","Severe ","Number of persons","Number","223","units ","0","v1035317202","1.2.3.4.1","490140","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Female","Severe ","Percentage of persons","Percent","239","units ","0","v1035317203","1.2.3.4.2","20.6","","","","1"
"2017","Canada","2016A000011124","15 to 64 years","Female","Very severe ","Number of persons","Number","223","units ","0","v1035317204","1.2.3.5.1","475670","","","","0"
"2017","Canada","2016A000011124","15 to 64 years","Female","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317205","1.2.3.5.2","20.0","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317206","1.3.1.1.1","546410","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317207","1.3.1.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Mild ","Number of persons","Number","223","units ","0","v1035317208","1.3.1.2.1","267450","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Mild ","Percentage of persons","Percent","239","units ","0","v1035317209","1.3.1.2.2","48.9","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Moderate ","Number of persons","Number","223","units ","0","v1035317210","1.3.1.3.1","115810","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317211","1.3.1.3.2","21.2","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Severe ","Number of persons","Number","223","units ","0","v1035317212","1.3.1.4.1","100800","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Severe ","Percentage of persons","Percent","239","units ","0","v1035317213","1.3.1.4.2","18.4","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Very severe ","Number of persons","Number","223","units ","0","v1035317214","1.3.1.5.1","62350","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Total, both sexes","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317215","1.3.1.5.2","11.4","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Male","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317216","1.3.2.1.1","230480","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Male","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317217","1.3.2.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Male","Mild ","Number of persons","Number","223","units ","0","v1035317218","1.3.2.2.1","109040","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Male","Mild ","Percentage of persons","Percent","239","units ","0","v1035317219","1.3.2.2.2","47.3","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Male","Moderate ","Number of persons","Number","223","units ","0","v1035317220","1.3.2.3.1","45420","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Male","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317221","1.3.2.3.2","19.7","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Male","Severe ","Number of persons","Number","223","units ","0","v1035317222","1.3.2.4.1","45190","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Male","Severe ","Percentage of persons","Percent","239","units ","0","v1035317223","1.3.2.4.2","19.6","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Male","Very severe ","Number of persons","Number","223","units ","0","v1035317224","1.3.2.5.1","30820","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Male","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317225","1.3.2.5.2","13.4","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Female","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317226","1.3.3.1.1","315930","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Female","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317227","1.3.3.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Female","Mild ","Number of persons","Number","223","units ","0","v1035317228","1.3.3.2.1","158410","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Female","Mild ","Percentage of persons","Percent","239","units ","0","v1035317229","1.3.3.2.2","50.1","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Female","Moderate ","Number of persons","Number","223","units ","0","v1035317230","1.3.3.3.1","70390","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Female","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317231","1.3.3.3.2","22.3","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Female","Severe ","Number of persons","Number","223","units ","0","v1035317232","1.3.3.4.1","55610","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Female","Severe ","Percentage of persons","Percent","239","units ","0","v1035317233","1.3.3.4.2","17.6","","","","1"
"2017","Canada","2016A000011124","15 to 24 years","Female","Very severe ","Number of persons","Number","223","units ","0","v1035317234","1.3.3.5.1","31530","","","","0"
"2017","Canada","2016A000011124","15 to 24 years","Female","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317235","1.3.3.5.2","10.0","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317236","1.4.1.1.1","1368270","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317237","1.4.1.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Mild ","Number of persons","Number","223","units ","0","v1035317238","1.4.1.2.1","662070","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Mild ","Percentage of persons","Percent","239","units ","0","v1035317239","1.4.1.2.2","48.4","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Moderate ","Number of persons","Number","223","units ","0","v1035317240","1.4.1.3.1","266590","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317241","1.4.1.3.2","19.5","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Severe ","Number of persons","Number","223","units ","0","v1035317242","1.4.1.4.1","253010","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Severe ","Percentage of persons","Percent","239","units ","0","v1035317243","1.4.1.4.2","18.5","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Very severe ","Number of persons","Number","223","units ","0","v1035317244","1.4.1.5.1","186600","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Total, both sexes","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317245","1.4.1.5.2","13.6","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Male","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317246","1.4.2.1.1","564150","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Male","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317247","1.4.2.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Male","Mild ","Number of persons","Number","223","units ","0","v1035317248","1.4.2.2.1","270800","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Male","Mild ","Percentage of persons","Percent","239","units ","0","v1035317249","1.4.2.2.2","48.0","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Male","Moderate ","Number of persons","Number","223","units ","0","v1035317250","1.4.2.3.1","118920","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Male","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317251","1.4.2.3.2","21.1","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Male","Severe ","Number of persons","Number","223","units ","0","v1035317252","1.4.2.4.1","100350","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Male","Severe ","Percentage of persons","Percent","239","units ","0","v1035317253","1.4.2.4.2","17.8","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Male","Very severe ","Number of persons","Number","223","units ","0","v1035317254","1.4.2.5.1","74090","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Male","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317255","1.4.2.5.2","13.1","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Female","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317256","1.4.3.1.1","804120","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Female","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317257","1.4.3.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Female","Mild ","Number of persons","Number","223","units ","0","v1035317258","1.4.3.2.1","391280","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Female","Mild ","Percentage of persons","Percent","239","units ","0","v1035317259","1.4.3.2.2","48.7","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Female","Moderate ","Number of persons","Number","223","units ","0","v1035317260","1.4.3.3.1","147670","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Female","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317261","1.4.3.3.2","18.4","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Female","Severe ","Number of persons","Number","223","units ","0","v1035317262","1.4.3.4.1","152660","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Female","Severe ","Percentage of persons","Percent","239","units ","0","v1035317263","1.4.3.4.2","19.0","","","","1"
"2017","Canada","2016A000011124","25 to 44 years","Female","Very severe ","Number of persons","Number","223","units ","0","v1035317264","1.4.3.5.1","112510","","","","0"
"2017","Canada","2016A000011124","25 to 44 years","Female","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317265","1.4.3.5.2","14.0","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317266","1.5.1.1.1","2359650","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317267","1.5.1.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Mild ","Number of persons","Number","223","units ","0","v1035317268","1.5.1.2.1","834960","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Mild ","Percentage of persons","Percent","239","units ","0","v1035317269","1.5.1.2.2","35.4","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Moderate ","Number of persons","Number","223","units ","0","v1035317270","1.5.1.3.1","449980","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317271","1.5.1.3.2","19.1","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Severe ","Number of persons","Number","223","units ","0","v1035317272","1.5.1.4.1","480800","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Severe ","Percentage of persons","Percent","239","units ","0","v1035317273","1.5.1.4.2","20.4","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Very severe ","Number of persons","Number","223","units ","0","v1035317274","1.5.1.5.1","593920","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Total, both sexes","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317275","1.5.1.5.2","25.2","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Male","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317276","1.5.2.1.1","1105670","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Male","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317277","1.5.2.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Male","Mild ","Number of persons","Number","223","units ","0","v1035317278","1.5.2.2.1","432910","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Male","Mild ","Percentage of persons","Percent","239","units ","0","v1035317279","1.5.2.2.2","39.2","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Male","Moderate ","Number of persons","Number","223","units ","0","v1035317280","1.5.2.3.1","211540","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Male","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317281","1.5.2.3.2","19.1","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Male","Severe ","Number of persons","Number","223","units ","0","v1035317282","1.5.2.4.1","198930","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Male","Severe ","Percentage of persons","Percent","239","units ","0","v1035317283","1.5.2.4.2","18.0","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Male","Very severe ","Number of persons","Number","223","units ","0","v1035317284","1.5.2.5.1","262280","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Male","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317285","1.5.2.5.2","23.7","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Female","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317286","1.5.3.1.1","1253990","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Female","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317287","1.5.3.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Female","Mild ","Number of persons","Number","223","units ","0","v1035317288","1.5.3.2.1","402050","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Female","Mild ","Percentage of persons","Percent","239","units ","0","v1035317289","1.5.3.2.2","32.1","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Female","Moderate ","Number of persons","Number","223","units ","0","v1035317290","1.5.3.3.1","238440","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Female","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317291","1.5.3.3.2","19.0","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Female","Severe ","Number of persons","Number","223","units ","0","v1035317292","1.5.3.4.1","281870","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Female","Severe ","Percentage of persons","Percent","239","units ","0","v1035317293","1.5.3.4.2","22.5","","","","1"
"2017","Canada","2016A000011124","45 to 64 years","Female","Very severe ","Number of persons","Number","223","units ","0","v1035317294","1.5.3.5.1","331630","","","","0"
"2017","Canada","2016A000011124","45 to 64 years","Female","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317295","1.5.3.5.2","26.4","","","","1"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317296","1.6.1.1.1","1972310","","","","0"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317297","1.6.1.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Mild ","Number of persons","Number","223","units ","0","v1035317298","1.6.1.2.1","559950","","","","0"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Mild ","Percentage of persons","Percent","239","units ","0","v1035317299","1.6.1.2.2","28.4","","","","1"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Moderate ","Number of persons","Number","223","units ","0","v1035317300","1.6.1.3.1","410530","","","","0"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317301","1.6.1.3.2","20.8","","","","1"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Severe ","Number of persons","Number","223","units ","0","v1035317302","1.6.1.4.1","461060","","","","0"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Severe ","Percentage of persons","Percent","239","units ","0","v1035317303","1.6.1.4.2","23.4","","","","1"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Very severe ","Number of persons","Number","223","units ","0","v1035317304","1.6.1.5.1","540770","","","","0"
"2017","Canada","2016A000011124","65 years and over","Total, both sexes","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317305","1.6.1.5.2","27.4","","","","1"
"2017","Canada","2016A000011124","65 years and over","Male","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317306","1.6.2.1.1","863250","","","","0"
"2017","Canada","2016A000011124","65 years and over","Male","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317307","1.6.2.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","65 years and over","Male","Mild ","Number of persons","Number","223","units ","0","v1035317308","1.6.2.2.1","264290","","","","0"
"2017","Canada","2016A000011124","65 years and over","Male","Mild ","Percentage of persons","Percent","239","units ","0","v1035317309","1.6.2.2.2","30.6","","","","1"
"2017","Canada","2016A000011124","65 years and over","Male","Moderate ","Number of persons","Number","223","units ","0","v1035317310","1.6.2.3.1","193340","","","","0"
"2017","Canada","2016A000011124","65 years and over","Male","Moderate ","Percentage of persons","Percent","239","units ","0","v1035317311","1.6.2.3.2","22.4","","","","1"
"2017","Canada","2016A000011124","65 years and over","Male","Severe ","Number of persons","Number","223","units ","0","v1035317312","1.6.2.4.1","194440","","","","0"
"2017","Canada","2016A000011124","65 years and over","Male","Severe ","Percentage of persons","Percent","239","units ","0","v1035317313","1.6.2.4.2","22.5","","","","1"
"2017","Canada","2016A000011124","65 years and over","Male","Very severe ","Number of persons","Number","223","units ","0","v1035317314","1.6.2.5.1","211180","","","","0"
"2017","Canada","2016A000011124","65 years and over","Male","Very severe ","Percentage of persons","Percent","239","units ","0","v1035317315","1.6.2.5.2","24.5","","","","1"
"2017","Canada","2016A000011124","65 years and over","Female","Persons with disabilities, all severity levels","Number of persons","Number","223","units ","0","v1035317316","1.6.3.1.1","1109050","","","","0"
"2017","Canada","2016A000011124","65 years and over","Female","Persons with disabilities, all severity levels","Percentage of persons","Percent","239","units ","0","v1035317317","1.6.3.1.2","100.0","","","","1"
"2017","Canada","2016A000011124","65 years and over","Female","Mild ","Number of persons","Number","223","units ","0","v1035317318","1.6.3.2.1","295660","","","","0"
"2017","Canada","2016A000011124","65 years and over","Female","Mild ","Percentage of persons","Percent","239","units ","0","v1035317319","1.6.3.2.2","26.7","","","","1"
"2017","Canada","2016A000011124","65 years and over","Female","Moderate ","Number of persons","Number","223","units ","0","v1035317320","1.6.3.3.1","217190","","","","0"
